i,x,y,u_avg,rank,pct_rank
168,0.823459866676179,0.884343219266563,0.0304416762951919,1298,0.14502307185234
514,0.519425804433828,0.578962416040427,0.0297683058032997,1299,0.144363876071193
1115,0.419121691474905,0.478315007119567,0.029596657822331,1300,0.143704680290046
1118,0.436763720234426,0.495878309248683,0.0295572945071286,1301,0.143045484508899
2078,0.183708426034365,0.241357113888999,0.0288243439273168,1302,0.142386288727752
993,0.43088391085063,0.486681043458618,0.027898566303994,1303,0.141727092946605
2839,0.144079530688189,0.198728057181326,0.0273242632465684,1304,0.141067897165458
637,0.575653413950832,0.627957693781942,0.0261521399155548,1305,0.140408701384311
513,0.522518955315911,0.573588478249445,0.0255347614667667,1306,0.139749505603164
1376,0.279114826071812,0.3283513349254,0.024618254426794,1307,0.139090309822017
566,0.490608691616941,0.539448676660547,0.0244199925218027,1308,0.13843111404087
934,0.418256098068546,0.467001478477086,0.02437269020427,1309,0.137771918259723
3014,0.119929314526503,0.167553495042852,0.0238120902581747,1310,0.137112722478576
3072,0.100821870092066,0.148326462893181,0.0237522964005575,1311,0.136453526697429
1059,0.425525599434055,0.472870282140454,0.0236723413531992,1312,0.135794330916282
1058,0.419121691474905,0.465274513382109,0.0230764109536021,1313,0.135135135135135
1054,0.423483397701644,0.469528948933629,0.0230227756159926,1314,0.134475939353988
1117,0.441898714181685,0.487889039904576,0.0229951628614451,1315,0.133816743572841
400,0.780537461117842,0.825150787502089,0.0223066631921234,1316,0.133157547791694
815,0.480905353738643,0.524300713994685,0.0216976801280209,1317,0.132498352010547
874,0.457930526571164,0.50074397663235,0.0214067250305929,1318,0.1318391562294
512,0.52174566759539,0.562418529914188,0.0203364311593987,1319,0.131179960448253
1057,0.419121691474905,0.456666652370035,0.0187724804475652,1320,0.130520764667106
1116,0.441898714181685,0.478851892537423,0.0184765891778687,1321,0.129861568885959
755,0.546371545679449,0.583254569657446,0.0184415119889985,1322,0.129202373104812
1055,0.423483397701644,0.460353570495737,0.0184350863970467,1323,0.128543177323665
1056,0.418348403754384,0.455175925370827,0.0184137608082216,1324,0.127883981542518
2723,0.144276032351214,0.177729362464964,0.0167266650568748,1325,0.127224785761371
994,0.440629800169795,0.46768394262171,0.0135270712259575,1326,0.126565589980224
2664,0.144276032351214,0.17117914133233,0.0134515544905579,1327,0.125906394199077
1002,0.440930581275835,0.467244155173905,0.013156786949035,1328,0.12524719841793
875,0.445582216564106,0.464747639627644,0.00958271153176904,1329,0.124588002636783
511,0.492507999637897,0.507147302872295,0.00731965161719939,1330,0.123928806855636
3130,0.0809401938066706,0.092571931429496,0.00581586881141269,1331,0.123269611074489
995,0.439856512449274,0.451173469747722,0.0056584786492241,1332,0.122610415293342
505,0.506249861900649,0.51683800945709,0.00529407377822053,1333,0.121951219512195
